,0
0,85.29996889238296
1,85.23207973502109
2,85.71251556526822
3,85.32569569185567
4,83.7903127070812
5,85.0300714485629
6,84.62955573862864
7,84.99996121487358
8,84.99996121487358
9,85.67868152322669
10,85.83104157291183
11,84.35002790349442
12,84.99996121487358
13,85.33063553510402
14,84.129262403958
15,85.43980296787757
16,84.4608018232901
17,84.0902301042032
18,84.99755529715512
19,85.19329924356629
20,85.6897668795583
21,84.99996121487357
22,85.18690291156963
23,85.67733229265222
24,83.35710475849343
25,85.78332642053763
26,85.58663291384457
27,84.96773563670959
28,84.10752437827762
29,84.91064407325577
30,84.92177759611754
31,83.6114396012421
32,84.83371529804634
33,86.50537467959747
34,84.54809080210477
35,85.79128753003755
36,84.99996121487357
37,0.1980111698527073
